Date,cnt
2023-08-05,580
2023-08-06,597
2023-08-07,705
2023-08-08,708
2023-08-09,690
2023-08-10,626
2023-08-11,650
2023-08-12,592
2023-08-13,589
2023-08-14,691
2023-08-15,661
2023-08-16,675
2023-08-17,668
2023-08-18,585
2023-08-19,616
2023-08-20,479
2023-08-21,763
2023-08-22,685
2023-08-23,701
2023-08-24,637
2023-08-25,655
2023-08-26,590
2023-08-27,602
2023-08-28,779
2023-08-29,695
2023-08-30,679
2023-08-31,708
2023-09-01,687
2023-09-02,597
2023-09-03,678
2023-09-04,631
2023-09-05,752
2023-09-06,659
2023-09-07,706
2023-09-08,643
2023-09-09,638
2023-09-10,579
2023-09-11,722
2023-09-12,633
2023-09-13,688
2023-09-14,690
2023-09-15,612
2023-09-16,571
2023-09-17,552
2023-09-18,699
2023-09-19,673
2023-09-20,693
2023-09-21,600
2023-09-22,644
2023-09-23,570
2023-09-24,542
2023-09-25,710
2023-09-26,647
2023-09-27,653
2023-09-28,629
2023-09-29,685
2023-09-30,595
2023-10-01,553
2023-10-02,745
2023-10-03,702
2023-10-04,679
2023-10-05,671
2023-10-06,630
2023-10-07,580
2023-10-08,582
2023-10-09,662
2023-10-10,604
2023-10-11,722
2023-10-12,757
2023-10-13,651
2023-10-14,576
2023-10-15,603
2023-10-16,731
2023-10-17,665
2023-10-18,701
2023-10-19,638
2023-10-20,625
2023-10-21,614
2023-10-22,552
2023-10-23,722
2023-10-24,701
2023-10-25,743
2023-10-26,659
2023-10-27,633
2023-10-28,569
2023-10-29,567
2023-10-30,763
2023-10-31,637
2023-11-01,767
2023-11-02,641
2023-11-03,646
2023-11-04,590
2023-11-05,562
2023-11-06,712
2023-11-07,674
2023-11-08,724
2023-11-09,643
2023-11-10,674
2023-11-11,589
2023-11-12,596
2023-11-13,703
2023-11-14,599
2023-11-15,678
2023-11-16,659
2023-11-17,681
2023-11-18,587
2023-11-19,603
2023-11-20,678
2023-11-21,678
2023-11-22,630
2023-11-23,454
2023-11-24,575
2023-11-25,609
2023-11-26,604
2023-11-27,756
2023-11-28,720
2023-11-29,732
2023-11-30,681
2023-12-01,695
2023-12-02,638
2023-12-03,571
2023-12-04,763
2023-12-05,777
2023-12-06,719
2023-12-07,682
2023-12-08,601
2023-12-09,562
2023-12-10,604
2023-12-11,761
2023-12-12,717
2023-12-13,731
2023-12-14,598
2023-12-15,574
2023-12-16,597
2023-12-17,648
2023-12-18,746
2023-12-19,644
2023-12-20,723
2023-12-21,636
2023-12-22,595
2023-12-23,599
2023-12-24,507
2023-12-25,459
2023-12-26,609
2023-12-27,585
2023-12-28,627
2023-12-29,618
2023-12-30,560
2023-12-31,516
2024-01-01,569
2024-01-02,659
2024-01-03,696
2024-01-04,656
2024-01-05,679
2024-01-06,579
2024-01-07,585
2024-01-08,690
2024-01-09,579
2024-01-10,587
2024-01-11,628
2024-01-12,620
2024-01-13,598
2024-01-14,481
2024-01-15,614
2024-01-16,696
2024-01-17,719
2024-01-18,663
2024-01-19,676
2024-01-20,592
2024-01-21,611
2024-01-22,716
2024-01-23,731
2024-01-24,721
2024-01-25,655
2024-01-26,650
2024-01-27,645
2024-01-28,577
2024-01-29,733
2024-01-30,621
2024-01-31,713
2024-02-01,573
2024-02-02,620
2024-02-03,555
2024-02-04,543
2024-02-05,545
2024-02-06,576
2024-02-07,680
2024-02-08,595
2024-02-09,587
2024-02-10,515
2024-02-11,554
2024-02-12,650
2024-02-13,656
2024-02-14,626
2024-02-15,638
2024-02-16,634
2024-02-17,559
2024-02-18,553
2024-02-19,631
2024-02-20,604
2024-02-21,658
2024-02-22,694
2024-02-23,713
2024-02-24,571
2024-02-25,630
2024-02-26,699
2024-02-27,738
2024-02-28,646
2024-02-29,671
2024-03-01,676
2024-03-02,633
2024-03-03,649
2024-03-04,717
2024-03-05,605
2024-03-06,648
2024-03-07,581
2024-03-08,527
2024-03-09,487
2024-03-10,484
2024-03-11,568
2024-03-12,521
2024-03-13,532
2024-03-14,550
2024-03-15,499
2024-03-16,479
2024-03-17,403
2024-03-18,338
